Specimen,Volume (mm^3),Height (mm),Diameter (MM),diameter (in),Corrosion level from diamater,Average Corrosion Level,Corrosion level from mass loss method
CL-5-T-1,47702,179,18.4,0.725,6.50%,6.00%,5.50%
CL-5-T-2,47388,176.5,18.5,0.728,5.80%,,
CL-5-T-3,44696,166.1,18.5,0.729,5.60%,,
CL-5-BBT-1,48389,178.2,18.6,0.732,4.70%,4.80%,4.40%
CL-5-BBT-2,48903,178.2,18.7,0.736,3.70%,,
CL-5-BBT-3,47876,178.6,18.5,0.727,5.90%,,
CL-5-BBT-4,48618,178,18.6,0.734,4.20%,4.70%,5.40%
CL-5-BBT-5,47984,178.3,18.5,0.729,5.60%,,
CL-5-BBT-6,48750,178.6,18.6,0.734,4.20%,,
CL-10-T-1,45281,178.8,18.0,0.707,11.10%,11.30%,10.50%
CL-10-T-2,44658,178.1,17.9,0.703,12.00%,,
CL-10-T-3,45359,178.1,18.0,0.709,10.60%,,
CL-10-BBT-1,45815,178.5,18.1,0.712,9.90%,9.70%,10.10%
CL-10-BBT-2,47595,182,18.2,0.718,8.20%,,
CL-10-BBT-3,45364,178.8,18.0,0.708,11.00%,,
CL-10-BBT-4,46486,178.9,18.2,0.716,8.80%,10.00%,10.20%
CL-10-BBT-5,45676,178.7,18.0,0.710,10.30%,,
CL-10-BBT-6,45353,178.2,18.0,0.709,10.70%,,
CL-15-BBT-1,43119,178.8,17.5,0.690,15.40%,15.30%,14.40%
CL-15-BBT-2,41474,169.7,17.6,0.695,14.20%,,
CL-15-BBT-3,35373,148.1,17.4,0.686,16.20%,,
CL-15-BBT-4,40485,168.1,17.5,0.690,15.50%,15.00%,14.80%
CL-15-BBT-5,38297,160.4,17.4,0.687,16.20%,,
CL-15-BBT-6,41103,166.4,17.7,0.698,13.30%,,
CL-20-T-1,40786,178.2,17.1,0.672,19.70%,20.30%,19.90%
CL-20-T-2,36577,163.4,16.9,0.665,21.40%,,
CL-20-T-3,40864,178.6,17.1,0.672,19.70%,,
CL-20-BBT-1,41038,178.9,17.1,0.673,19.50%,19.50%,19.70%
CL-20-BBT-2,37452,164.3,17.0,0.671,20.00%,,
CL-20-BBT-3,41186,178.5,17.1,0.675,19.00%,,
CL-20-BBT-4,39645,178.4,16.8,0.662,22.00%,21.80%,22.40%
CL-20-BBT-5,35364,158.4,16.9,0.664,21.70%,,
CL-20-BBT-6,39786,178.1,16.9,0.664,21.60%,,
